frb,utc,mjd,telescope,ra,dec,l,b,frequency,dm,flux,width,fluence,snr,reference
FRB 20181115A,2018-11-15 13:54:58,58437.57984,CHIME,9:31:55.2,+56:24:00,159.11,44.2,468.8,981.8,0.4,4.92,1.9,18.8,http://chime-frb.ca/catalog/FRB20181115A
FRB 20181116A,2018-11-16 6:44:57,58438.28122,CHIME,2:24:12,+4:30:00,161.75,-51.22,445.8,354.2,4,1.97,5.2,25.3,http://chime-frb.ca/catalog/FRB20181116A
FRB 20181116B,2018-11-16 19:45:55,58438.82355,CHIME,15:30:48,+64:56:24,100.53,44.64,400.2,409.2,0.7,3.93,1.9,16,http://chime-frb.ca/catalog/FRB20181116B
FRB 20181117A,2018-11-17 14:01:36,58439.58445,CHIME,9:50:48,+52:30:00,163.13,48.07,800.2,960.8,0.6,5.9,3,12.2,http://chime-frb.ca/catalog/FRB20181117A
FRB 20181117B,2018-11-17 21:30:45,58439.89635,CHIME,5:24:24,+80:00:00,133.04,23.06,536.4,540.2,4,7.86,11,17.1,http://chime-frb.ca/catalog/FRB20181117B
FRB 20181117C,2018-11-17 7:48:48,58439.32555,CHIME,3:32:48,+25:42:00,162.76,-24.4,676.5,1776,1.6,3.93,3,28.3,http://chime-frb.ca/catalog/FRB20181117C
FRB 20181118A,2018-11-18 5:36:39,58440.23379,CHIME,1:22:48,-6:24:00,144,-68,630.1,558,4,3.93,10,10.8,http://chime-frb.ca/catalog/FRB20181118A
FRB 20181118B,2018-11-18 8:03:32,58440.33579,CHIME,3:53:12,+10:48:00,178.42,-31.89,534.8,422.2,0.8,3.93,3,18.1,http://chime-frb.ca/catalog/FRB20181118B
FRB 20181118C,2018-11-18 8:44:49,58440.36446,CHIME,4:22:00,+73:36:00,136.46,16.58,508.7,187.6,0.3,8.85,1.7,10.3,http://chime-frb.ca/catalog/FRB20181118C
FRB 20181118D,2018-11-18 21:07:12,58440.87765,FAST,7:56:42,+16:08:56.70,205.24,21.53,1200,1187.7,0.0142,5.3,0.064,11.1,https://arxiv.org/2102.10546
FRB 20181119A,2018-11-19 16:49:03,58441.70073,CHIME,12:42:00,+65:06:00,124.52,51.97,498,368.8,0.3,20.64,4,11.1,http://chime-frb.ca/catalog/FRB20181119A
FRB 20181119B,2018-11-19 0:05:01,58441.00348,CHIME,19:57:36,+31:06:00,67.76,1.09,536.4,608.2,5,22.61,90,49.9,http://chime-frb.ca/catalog/FRB20181119B
FRB 20181119C,2018-11-19 17:06:29,58441.71284,CHIME,12:40:24,+82:12:00,123.39,34.96,400.2,283.1,3,0.98,3,27,http://chime-frb.ca/catalog/FRB20181119C
FRB 20181119D,2018-11-19 9:38:42,58441.40187,CHIME,5:31:58.698,+33:08:52.5876,174.88,-0.22,668.9,595.2,0.5,36.37,13,23.7,http://chime-frb.ca/catalog/FRB20181119D
FRB 20181119E,2018-11-19 5:15:43,58441.21925,CHIME,1:05:36,+60:30:00,124.65,-2.29,425.3,1169.5,0.7,2.95,2,11.2,http://chime-frb.ca/catalog/FRB20181119E
FRB 20181120A,2018-11-20 5:56:06,58442.24729,CHIME,1:45:00,+65:43:48,128.4,3.43,600,351,-,-,-,13.37,https://www.wis-tns.org/object/20181120a
FRB 20181120B,2018-11-20 5:56:06,58442.24729,CHIME,1:58:00.7502,+65:43:00.3151,129.71,3.73,653.5,351,1,3.93,2.7,13.4,http://chime-frb.ca/catalog/FRB20181120B
FRB 20181120C,2018-11-20 8:25:28,58442.35102,CHIME,4:22:00,+73:36:00,136.46,16.58,692.9,190.9,0.4,7.86,4,10.6,http://chime-frb.ca/catalog/FRB20181120C
FRB 20181122A,2018-11-22 7:52:11,58444.32791,CHIME,4:00:00,+55:30:00,147.51,1.89,400.2,661.6,0.5,2.95,1.4,12.2,http://chime-frb.ca/catalog/FRB20181122A
FRB 20181122B,2018-11-22 10:17:50,58444.42905,CHIME,18:44:24,+85:01:12,117.34,27.17,480.7,224.8,15,0.98,20,64.9,http://chime-frb.ca/catalog/FRB20181122B
FRB 20181123A,2018-11-23 23:51:48,58445.9943,CHIME,20:03:02.4,+55:54:00,89.71,12.94,488.5,797.4,1,1.97,3,17,http://chime-frb.ca/catalog/FRB20181123A
FRB 20181123B,2018-11-23 17:49:09,58445.74247,FAST,5:06:07,+18:09:35.70,184.06,-13.47,1250,1812,0.065,1.05,0.2,-,https://www.wis-tns.org/object/20181123b
FRB 20181124A,2018-11-24 15:29:07,58446.64522,CHIME,11:44:00,+63:30:00,135.07,51.99,674.9,1108,0.7,4.92,3,10.4,http://chime-frb.ca/catalog/FRB20181124A
FRB 20181124B,2018-11-24 1:03:39,58446.0442,CHIME,21:14:24,+29:54:00,76.68,-12.89,800.2,800.7,2.6,3.93,5,29,http://chime-frb.ca/catalog/FRB20181124B
FRB 20181125A,2018-11-25 13:37:31,58447.56772,CHIME,9:51:36,+33:55:48,191.59,51.02,434.5,278.2,0.4,14.75,3,18.3,http://chime-frb.ca/catalog/FRB20181125A
FRB 20181126A,2018-11-26 21:00:50,58448.87558,CHIME,17:28:24,+81:12:00,113.4,29.94,441.8,493.3,3,1.97,9,51.6,http://chime-frb.ca/catalog/FRB20181126A
FRB 20181127A,2018-11-27 19:46:09,58449.82372,CHIME,16:15:12,+25:24:00,42.85,44.61,479.3,930.1,0.8,3.93,3,15.7,http://chime-frb.ca/catalog/FRB20181127A
FRB 20181128A,2018-11-28 8:27:42,58450.35257,CHIME,4:55:36,+63:13:12,146.73,12.3,618.9,446.4,0.6,21.63,8,23.4,http://chime-frb.ca/catalog/FRB20181128A
FRB 20181128B,2018-11-28 14:02:56,58450.58537,CHIME,10:28:48,+38:16:48,183.27,58.24,400.2,454.5,0.3,5.9,1.9,13.3,http://chime-frb.ca/catalog/FRB20181128B
FRB 20181128C,2018-11-28 21:21:49,58450.89015,CHIME,17:55:04.8,+49:42:00,77,29.2,480.3,614.6,0.4,14.75,3,11,http://chime-frb.ca/catalog/FRB20181128C
FRB 20181128D,2018-11-28 17:53:23,58450.74541,CHIME,14:22:28.8,+59:54:00,103.82,53.69,400.2,147.2,3,1.97,7,47,http://chime-frb.ca/catalog/FRB20181128D
FRB 20181129A,2018-11-29 3:08:06,58451.13063,CHIME,23:40:24,+45:00:00,109.96,-16.13,518.2,386.6,1.5,2.95,3,25.4,http://chime-frb.ca/catalog/FRB20181129A
FRB 20181129B,2018-11-29 11:33:37,58451.48168,CHIME,20:30:24,+81:18:00,114.35,23.24,556.8,406,4,1.97,9,11.8,http://chime-frb.ca/catalog/FRB20181129B
FRB 20181129C,2018-11-29 19:00:24,58451.79195,CHIME,15:33:36,+40:00:00,64.61,54.23,560.6,503,0.8,4.92,4,18.3,http://chime-frb.ca/catalog/FRB20181129C
FRB 20181130A,2018-11-30 3:03:09,58452.12719,CHIME,23:40:45.6,+46:30:00,110.46,-14.66,412.1,218.4,1,0.98,1.3,20.9,http://chime-frb.ca/catalog/FRB20181130A
FRB 20181130B,2018-11-30 12:57:36,58452.54267,FAST,0:39:08,+19:24:31.70,118.94,-43.37,1330,1705.5,0.0206,9.52,0.168,30.9,https://arxiv.org/2102.10546
FRB 20181201A,2018-12-01 17:39:05,58453.73548,CHIME,14:20:00,+39:18:00,71.98,67.97,419,698.7,0.4,125.83,19,17.8,http://chime-frb.ca/catalog/FRB20181201A
FRB 20181201B,2018-12-01 21:26:35,58453.89346,CHIME,18:13:36,+56:18:00,84.88,27.43,429.4,875.1,0.7,3.93,2.2,14.2,http://chime-frb.ca/catalog/FRB20181201B
FRB 20181202A,2018-12-02 2:41:42,58454.11229,CHIME,23:24:00,+17:24:00,94.98,-40.72,505.7,669.6,2.6,6.88,14,27,http://chime-frb.ca/catalog/FRB20181202A
FRB 20181202B,2018-12-02 16:44:21,58454.69746,CHIME,13:31:12,+64:42:00,116.05,51.87,590.1,826.5,1,4.92,4,16.1,http://chime-frb.ca/catalog/FRB20181202B
FRB 20181202C,2018-12-02 23:37:09,58454.98413,CHIME,20:28:24,+57:00:00,92.62,10.57,487.4,558,0.5,7.86,3,10.4,http://chime-frb.ca/catalog/FRB20181202C
FRB 20181203A,2018-12-03 5:25:15,58455.22587,CHIME,2:14:24,+23:36:00,146.43,-35.49,800.2,635.7,1.7,2.95,4,19.2,http://chime-frb.ca/catalog/FRB20181203A
FRB 20181203B,2018-12-03 6:23:17,58455.26617,CHIME,3:09:14.4,+24:00:00,159.14,-29,693.2,373.6,1.4,3.93,5,25.6,http://chime-frb.ca/catalog/FRB20181203B
FRB 20181203C,2018-12-03 16:16:50,58455.67836,CHIME,13:14:00,+72:54:00,120.64,44.09,400.2,2442.4,1,11.8,5,10.3,http://chime-frb.ca/catalog/FRB20181203C
FRB 20181208A,2018-12-08 20:33:03,58460.85629,CHIME,17:37:36,+62:36:00,91.86,32.3,400.3,561.3,0.9,4.92,4,22.3,http://chime-frb.ca/catalog/FRB20181208A
FRB 20181209A,2018-12-09 9:24:52,58461.39227,CHIME,6:32:48,+68:42:00,146.19,23.47,403.5,328.4,2,1.97,3,24.2,http://chime-frb.ca/catalog/FRB20181209A
FRB 20181213A,2018-12-13 11:08:10,58465.46401,CHIME,8:30:48,+73:54:00,140.39,32.8,400.2,677.7,0.9,2.95,3,16.1,http://chime-frb.ca/catalog/FRB20181213A
FRB 20181213B,2018-12-13 14:47:14,58465.61613,CHIME,12:14:00,+53:42:00,134.96,62.55,664,626,0.8,4.92,2,12.3,http://chime-frb.ca/catalog/FRB20181213B
FRB 20181213C,2018-12-13 17:00:20,58465.70857,CHIME,14:25:36,+47:30:00,87.04,62.58,400.2,380.1,0.6,2.95,2,11.7,http://chime-frb.ca/catalog/FRB20181213C
FRB 20181214A,2018-12-14 7:08:15,58466.2974,CHIME,4:40:00,+43:06:00,160.82,-2.37,435,467.5,0.16,2.95,0.4,25.4,http://chime-frb.ca/catalog/FRB20181214A
FRB 20181214B,2018-12-14 11:40:21,58466.48635,CHIME,9:15:12,+42:09:00,179.33,43.88,400.2,1120.9,0.4,2.95,1.2,10.2,http://chime-frb.ca/catalog/FRB20181214B
FRB 20181214C,2018-12-14 14:16:32,58466.59482,CHIME,11:43:36,+60:01:12,137.68,55.13,400.2,632.4,1.2,5.9,5,29.1,http://chime-frb.ca/catalog/FRB20181214C
FRB 20181214D,2018-12-14 14:20:56,58466.59787,CHIME,11:54:24,+46:42:00,149.07,67.41,700.7,1171.1,0.6,16.71,9,18.2,http://chime-frb.ca/catalog/FRB20181214D
FRB 20181214F,2018-12-14 19:19:08,58466.80495,CHIME,16:50:28.8,+32:24:00,54.19,38.53,425.7,2106,0.3,8.85,2.2,11,http://chime-frb.ca/catalog/FRB20181214F
FRB 20181215A,2018-12-15 8:39:37,58467.36085,CHIME,6:13:36,+39:20:24,173.73,10.12,400.2,412.5,0.3,4.92,0.7,9.2,http://chime-frb.ca/catalog/FRB20181215A
FRB 20181215B,2018-12-15 19:20:44,58467.80607,CHIME,16:59:12,+47:33:36,73.62,38.24,590.2,493.3,2,1.97,3,24.8,http://chime-frb.ca/catalog/FRB20181215B
FRB 20181216A,2018-12-16 22:44:42,58468.94771,CHIME,20:25:12,+53:30:00,89.41,9,634,541.9,0.9,1.97,2,11,http://chime-frb.ca/catalog/FRB20181216A
FRB 20181217A,2018-12-17 21:34:49,58469.89918,CHIME,19:22:00,+59:48:00,90.99,19.55,663.5,1175.9,0.6,2.95,1.8,12.5,http://chime-frb.ca/catalog/FRB20181217A
FRB 20181218A,2018-12-18 2:37:47,58470.10957,CHIME,0:20:24,+71:21:00,120.42,8.63,448.4,1873.1,0.8,5.9,2,18.6,http://chime-frb.ca/catalog/FRB20181218A
FRB 20181218B,2018-12-18 3:34:09,58470.14871,CHIME,1:12:00,+69:24:00,124.77,6.59,400.2,752.1,0.6,2.95,2,10.9,http://chime-frb.ca/catalog/FRB20181218B
FRB 20181218C,2018-12-18 21:15:57,58470.88608,CHIME,19:04:00,+58:12:00,88.61,21.24,472.7,385,0.3,4.92,1.7,9.2,http://chime-frb.ca/catalog/FRB20181218C
FRB 20181219A,2018-12-19 7:04:42,58471.29493,CHIME,4:55:36,+63:13:12,146.73,12.3,527.9,449.7,0.4,17.69,5,10.2,http://chime-frb.ca/catalog/FRB20181219A
FRB 20181219B,2018-12-19 2:07:51,58471.08878,CHIME,12:03:12,+71:36:00,128.31,45.07,800.2,1950.7,5,4.92,30,23.1,http://chime-frb.ca/catalog/FRB20181219B
FRB 20181219C,2018-12-19 3:21:39,58471.14003,CHIME,1:11:12,+14:06:00,130.13,-48.49,400.2,648.6,0.21,2.95,0.6,18.6,http://chime-frb.ca/catalog/FRB20181219C
FRB 20181220A,2018-12-20 1:07:11,58472.04666,CHIME,23:04:24,+48:24:00,105.24,-10.73,400.2,208.7,1.3,2.95,3,27.6,http://chime-frb.ca/catalog/FRB20181220A
FRB 20181220B,2018-12-20 8:30:53,58472.35478,CHIME,18:29:36,+84:54:00,117.17,27.5,419.5,257.2,3,1.97,4,13.4,http://chime-frb.ca/catalog/FRB20181220B
FRB 20181221A,2018-12-21 17:22:35,58473.72402,CHIME,15:22:24,+25:54:00,39.52,56.34,510.1,313.8,1.2,4.92,6,18.6,http://chime-frb.ca/catalog/FRB20181221A
FRB 20181221B,2018-12-21 22:35:40,58473.94144,CHIME,20:25:14.4,+80:58:48,113.93,23.25,492.2,1392.7,1,2.95,3,26.7,http://chime-frb.ca/catalog/FRB20181221B
FRB 20181222A,2018-12-22 3:59:23,58474.16624,CHIME,1:58:00.7502,+65:43:00.3151,129.71,3.73,713.2,349.4,5,35.39,50,24,http://chime-frb.ca/catalog/FRB20181222A
FRB 20181222B,2018-12-22 7:54:37,58474.3296,CHIME,6:00:00,+38:33:00,173.2,7.45,415.1,619.5,0.5,1.97,0.8,9.5,http://chime-frb.ca/catalog/FRB20181222B
FRB 20181222C,2018-12-22 10:49:11,58474.45082,CHIME,8:44:24,+68:18:00,146.46,35.38,400.2,1104.8,0.8,3.93,3,11,http://chime-frb.ca/catalog/FRB20181222C
FRB 20181222D,2018-12-22 14:33:32,58474.60662,CHIME,12:32:48,+56:09:36,128.25,60.78,443,1413.7,0.2,22.61,1.2,10.5,http://chime-frb.ca/catalog/FRB20181222D
FRB 20181222E,2018-12-22 17:15:13,58474.7189,CHIME,3:22:33.6,+87:00:00,124.97,24.72,455.2,328.4,1.1,3.93,6,17.7,http://chime-frb.ca/catalog/FRB20181222E
FRB 20181223A,2018-12-23 3:51:29,58475.16075,CHIME,1:58:00.7502,+65:43:00.3151,129.71,3.73,652.9,352.6,2,8.85,16,31.8,http://chime-frb.ca/catalog/FRB20181223A
FRB 20181223B,2018-12-23 13:31:00,58475.56319,CHIME,11:39:36,+21:36:00,227.74,72.74,600.6,564.5,0.7,8.85,4,12.4,http://chime-frb.ca/catalog/FRB20181223B
FRB 20181223C,2018-12-23 13:55:32,58475.58023,CHIME,12:04:24,+27:36:00,207.75,79.51,479.2,111.6,1.4,1.97,2.8,19.5,http://chime-frb.ca/catalog/FRB20181223C
FRB 20181224A,2018-12-24 1:28:53,58476.06173,CHIME,23:40:26.4,+44:33:36,109.84,-16.5,549.5,308.9,4,1.97,3,65,http://chime-frb.ca/catalog/FRB20181224A
FRB 20181224B,2018-12-24 4:52:51,58476.20337,CHIME,3:01:36,+46:06:00,145.22,-11.03,400.2,779.6,0.8,8.85,3,14,http://chime-frb.ca/catalog/FRB20181224B
FRB 20181224C,2018-12-24 9:36:15,58476.40017,CHIME,7:41:12,+60:18:00,156.69,29.4,400.2,608.2,0.5,29.49,10,13.3,http://chime-frb.ca/catalog/FRB20181224C
FRB 20181224D,2018-12-24 13:59:51,58476.58323,CHIME,12:10:00,+54:54:00,135.42,61.26,400.2,690.7,0.5,3.93,2,11.2,http://chime-frb.ca/catalog/FRB20181224D
FRB 20181224E,2018-12-24 17:45:06,58476.73965,CHIME,15:57:16.8,+7:18:00,17.52,41.77,400.2,580.7,4,1.97,10,32.4,http://chime-frb.ca/catalog/FRB20181224E
FRB 20181225A,2018-12-25 3:53:04,58477.16185,CHIME,1:58:00.7502,+65:43:00.3151,129.71,3.73,446.8,346.1,0.6,6.88,4,16.2,http://chime-frb.ca/catalog/FRB20181225A
FRB 20181225B,2018-12-25 5:09:49,58477.21515,CHIME,2:27:12,+88:12:00,123.74,25.48,560.7,299.2,2,2.95,7,19.1,http://chime-frb.ca/catalog/FRB20181225B
FRB 20181226A,2018-12-26 3:43:30,58478.15521,CHIME,1:58:00.7502,+65:43:00.3151,129.71,3.73,552.8,347.8,1.6,9.83,6,16.7,http://chime-frb.ca/catalog/FRB20181226A
FRB 20181226B,2018-12-26 13:50:55,58478.57703,CHIME,12:10:38.4,+12:24:00,267.9,72.47,461.1,287.9,9,1.97,50,52.4,http://chime-frb.ca/catalog/FRB20181226B
FRB 20181226C,2018-12-26 1:02:09,58478.04316,CHIME,23:16:24,+44:54:00,105.75,-14.73,400.2,409.2,0.9,3.93,3,18.8,http://chime-frb.ca/catalog/FRB20181226C
FRB 20181226D,2018-12-26 9:41:16,58478.40366,CHIME,8:00:48,+22:09:36,199.59,24.7,417.2,386.6,1.9,1.97,3,24.2,http://chime-frb.ca/catalog/FRB20181226D
FRB 20181226E,2018-12-26 21:50:46,58478.91026,CHIME,20:14:24,+73:36:00,106.6,20.42,400.2,308.9,0.5,2.95,1.3,16.5,http://chime-frb.ca/catalog/FRB20181226E
FRB 20181227A,2018-12-27 3:44:42,58479.15604,CHIME,2:07:12,+78:24:00,126.83,16.09,656.8,791,0.9,1.97,1.8,9.2,http://chime-frb.ca/catalog/FRB20181227A
FRB 20181228A,2018-12-28 2:02:42,58480.08521,CHIME,0:29:12,+10:12:00,113.91,-52.26,484.5,748.9,1.2,2.95,4,12.6,http://chime-frb.ca/catalog/FRB20181228A
FRB 20181228B,2018-12-28 18:07:56,58480.75551,CHIME,16:41:36,+63:54:00,94.64,38.29,435.2,566.1,0.4,4.92,1.7,15.5,http://chime-frb.ca/catalog/FRB20181228B
FRB 20181228C,2018-12-28 19:16:20,58480.80301,CHIME,17:40:48,+54:24:00,82.11,31.87,400.2,509.5,0.4,2.95,0.7,11.1,http://chime-frb.ca/catalog/FRB20181228C
FRB 20181228D,2018-12-28 13:48:50,58480.57558,ASKAP,6:09:24,-45:58:02,253.35,-26.15,-,354.2,19.23,-,-,-,https://www.wis-tns.org/object/20181228d
FRB 20181229A,2018-12-29 10:34:58,58481.44095,CHIME,9:08:48,+42:00:00,179.53,42.69,538.1,955.9,1.2,4.92,4,23.6,http://chime-frb.ca/catalog/FRB20181229A
FRB 20181229B,2018-12-29 17:23:56,58481.72495,CHIME,15:53:36,+19:48:00,32.97,47.83,445.5,375.3,0.4,20.64,5,11.1,http://chime-frb.ca/catalog/FRB20181229B
FRB 20181230A,2018-12-30 0:30:16,58482.02102,CHIME,23:06:48,+83:24:00,119.8,21.14,724.8,763.5,0.9,34.41,20,14.1,http://chime-frb.ca/catalog/FRB20181230A
FRB 20181230B,2018-12-30 2:39:32,58482.11079,CHIME,1:23:12,+79:42:00,124.42,16.92,450.2,1135.5,0.9,10.81,10,12.8,http://chime-frb.ca/catalog/FRB20181230B
FRB 20181230C,2018-12-30 17:42:56,58482.73815,CHIME,16:23:12,+50:30:00,78.21,43.9,699.9,1036.8,0.9,2.95,2,14.3,http://chime-frb.ca/catalog/FRB20181230C
FRB 20181230D,2018-12-30 18:23:35,58482.76638,CHIME,17:01:12,+50:30:00,77.36,37.86,800.2,224.8,1.4,0.98,2,13.3,http://chime-frb.ca/catalog/FRB20181230D
FRB 20181230E,2018-12-30 20:37:24,58482.85931,CHIME,7:33:12,+86:51:00,126.43,27.65,488,1041.7,1,10.81,10,13.9,http://chime-frb.ca/catalog/FRB20181230E
FRB 20181231A,2018-12-31 3:18:47,58483.13804,CHIME,1:58:48,+21:00:00,143.38,-39.22,680.4,1376.5,1.1,2.95,2,28.3,http://chime-frb.ca/catalog/FRB20181231A
FRB 20181231B,2018-12-31 9:55:59,58483.41388,CHIME,8:35:12,+56:00:00,161.71,36.55,657.7,199,0.9,2.95,2.3,33.2,http://chime-frb.ca/catalog/FRB20181231B
FRB 20181231C,2018-12-31 14:36:18,58483.60854,CHIME,13:08:24,+69:12:00,120.69,47.87,408.8,554.8,0.7,1.97,1.2,18.2,http://chime-frb.ca/catalog/FRB20181231C
FRB 20190101A,2019-01-01 12:40:10,58484.52789,CHIME,11:24:00,+28:00:00,205.31,70.64,400.2,867,0.6,42.27,11,17.7,http://chime-frb.ca/catalog/FRB20190101A
FRB 20190101B,2019-01-01 21:43:32,58484.90523,CHIME,20:31:12,+29:54:00,70.74,-5.61,713.6,1321.5,1,2.95,4,14,http://chime-frb.ca/catalog/FRB20190101B
FRB 20190102A,2019-01-02 1:49:13,58485.07585,CHIME,0:37:12,+26:43:12,118.96,-36.04,495.2,697.1,1.1,3.93,4,22.4,http://chime-frb.ca/catalog/FRB20190102A
FRB 20190102B,2019-01-02 2:43:54,58485.11382,CHIME,1:26:48,+21:24:00,133.77,-40.74,428.8,367.2,1.7,2.95,4,22.9,http://chime-frb.ca/catalog/FRB20190102B
FRB 20190102C,2019-01-02 5:38:43,58485.23522,ASKAP,21:29:40,-79:28:33,312.65,-33.49,1320,363.6,-,1.7,14,14,https://www.wis-tns.org/object/20190102c
FRB 20190103A,2019-01-03 13:47:24,58486.57458,CHIME,12:42:00,+65:06:00,124.52,51.97,780,365.6,1.1,9.83,5,15.7,http://chime-frb.ca/catalog/FRB20190103A
FRB 20190103B,2019-01-03 7:25:59,58486.30971,CHIME,6:14:16.8,+19:42:00,191.23,1.07,507,530.5,0.7,31.46,13,15.7,http://chime-frb.ca/catalog/FRB20190103B
FRB 20190103C,2019-01-03 8:05:51,58486.3374,CHIME,6:56:48,+11:04:12,203.64,6.19,543.7,1349,2,4.92,13,25.1,http://chime-frb.ca/catalog/FRB20190103C
FRB 20190103D,2019-01-03 16:00:46,58486.6672,CHIME,14:47:12,+59:54:00,99.85,51.71,400.2,1911.9,0.5,2.95,1.2,10.5,http://chime-frb.ca/catalog/FRB20190103D
FRB 20190103E,2019-01-03 18:38:15,58486.77656,CHIME,17:31:36,+45:48:00,71.92,32.61,547.3,736,0.5,2.95,2,9.1,http://chime-frb.ca/catalog/FRB20190103E
FRB 20190104A,2019-01-04 5:49:34,58487.24276,CHIME,4:42:00,+35:36:00,166.73,-7.01,531.9,548.3,1.5,1.97,4,17.2,http://chime-frb.ca/catalog/FRB20190104A
FRB 20190104B,2019-01-04 16:45:54,58487.69854,CHIME,15:38:48,-6:18:00,359.71,37.54,800.2,527.3,3,5.9,10,9.8,http://chime-frb.ca/catalog/FRB20190104B
FRB 20190105A,2019-01-05 18:39:35,58488.77749,CHIME,17:45:12,+63:48:00,93.23,31.41,800.2,385,0.6,8.85,4,10.9,http://chime-frb.ca/catalog/FRB20190105A
FRB 20190106A,2019-01-06 2:29:11,58489.1036,CHIME,1:28:48,+46:06:00,129.65,-16.26,800.2,341.3,0.3,6.88,0.8,9.6,http://chime-frb.ca/catalog/FRB20190106A
FRB 20190106B,2019-01-06 23:21:18,58489.97313,CHIME,22:22:24,+46:06:00,97.79,-9.34,452.1,315.4,2,1.97,4,41.2,http://chime-frb.ca/catalog/FRB20190106B
FRB 20190107A,2019-01-07 1:01:19,58490.04258,CHIME,0:03:36,+21:48:00,108.4,-39.7,400.2,841.1,0.5,47.19,6,9,http://chime-frb.ca/catalog/FRB20190107A
FRB 20190107B,2019-01-07 3:22:14,58490.14044,CHIME,2:14:00,+83:24:00,125.41,20.93,400.2,166.6,3,0.98,4,20.6,http://chime-frb.ca/catalog/FRB20190107B
FRB 20190109A,2019-01-09 8:00:31,58492.33369,CHIME,7:12:00,+5:12:00,210.64,6.88,583,325.1,1.2,13.76,6,9.4,http://chime-frb.ca/catalog/FRB20190109A
FRB 20190109B,2019-01-09 17:36:02,58492.73336,CHIME,16:54:00,+1:18:00,19.73,26.53,408.1,176.3,1,6.88,3,11.6,http://chime-frb.ca/catalog/FRB20190109B
FRB 20190110A,2019-01-10 5:05:35,58493.21221,CHIME,4:19:48,+47:26:24,155.2,-1.95,411,470.7,1.5,2.95,4,29.1,http://chime-frb.ca/catalog/FRB20190110A
FRB 20190110B,2019-01-10 9:28:06,58493.39451,CHIME,8:46:48,+50:12:00,168.91,38.68,407.8,486.9,0.5,8.85,2,12.3,http://chime-frb.ca/catalog/FRB20190110B
FRB 20190110C,2019-01-10 17:11:02,58493.716,CHIME,16:28:00,+41:25:12,65.52,43.85,427.4,221.6,0.6,2.95,1.4,15.6,http://chime-frb.ca/catalog/FRB20190110C
FRB 20190111A,2019-01-11 15:05:51,58494.62906,CHIME,14:28:00,+26:48:00,37.55,68.51,638.9,173.1,4,5.9,17,64.3,http://chime-frb.ca/catalog/FRB20190111A
FRB 20190111B,2019-01-11 17:59:02,58494.74933,CHIME,17:20:00,+13:31:48,35.24,26.27,422.5,1334.4,0.3,3.93,0.8,24.1,http://chime-frb.ca/catalog/FRB20190111B
FRB 20190112A,2019-01-12 17:41:31,58495.73717,CHIME,17:11:55.2,+61:12:00,90.49,35.45,697.7,420.5,1.4,9.83,16,27.8,http://chime-frb.ca/catalog/FRB20190112A
FRB 20190113A,2019-01-13 7:40:32,58496.31981,CHIME,7:12:24,-3:00:00,218.01,3.33,800.2,430.3,1,6.88,6,10.9,http://chime-frb.ca/catalog/FRB20190113A
FRB 20190114A,2019-01-14 1:06:00,58497.04583,CHIME,0:36:00,+19:12:00,117.83,-43.55,425.8,889.6,0.5,4.92,2,11.5,http://chime-frb.ca/catalog/FRB20190114A
FRB 20190115A,2019-01-15 3:27:49,58498.14432,CHIME,3:02:24,+54:18:00,141.39,-3.83,457.2,1020.6,0.5,2.95,1,10.4,http://chime-frb.ca/catalog/FRB20190115A
FRB 20190115B,2019-01-15 5:42:41,58498.23798,CHIME,5:07:12,+82:06:00,130.71,23.43,457.5,748.9,1.5,3.93,5,18.2,http://chime-frb.ca/catalog/FRB20190115B
FRB 20190116A,2019-01-16 13:07:34,58499.54692,CHIME,12:49:12,+27:12:00,210.17,89.53,636.8,446.4,0.3,12.78,4,15.8,http://chime-frb.ca/catalog/FRB20190116A
FRB 20190116B,2019-01-16 13:08:21,58499.54746,CHIME,12:49:12,+27:12:00,210.17,89.53,483.6,441.6,0.5,6.88,2,12.9,http://chime-frb.ca/catalog/FRB20190116B
FRB 20190116C,2019-01-16 16:54:14,58499.70433,CHIME,16:37:16.8,+70:57:36,103.22,36.26,672.1,629.2,30,2.95,60,74.4,http://chime-frb.ca/catalog/FRB20190116C
FRB 20190116D,2019-01-16 5:59:09,58499.24941,CHIME,5:40:24,+68:42:00,144.42,19.03,400.2,1161.4,0.5,9.83,5,11.5,http://chime-frb.ca/catalog/FRB20190116D
FRB 20190116E,2019-01-16 1:36:13,58499.06682,CHIME,1:17:36,+52:18:00,126.97,-10.35,660.5,1489.7,0.5,0.98,1.1,11.9,http://chime-frb.ca/catalog/FRB20190116E
FRB 20190116F,2019-01-16 17:40:37,58499.73654,CHIME,17:26:48,+75:00:00,106.48,31.58,637.5,315.4,0.5,2.95,1.5,13.6,http://chime-frb.ca/catalog/FRB20190116F
FRB 20190117A,2019-01-17 22:18:32,58500.92954,CHIME,22:06:48,+17:24:00,76.31,-30.23,507.6,393.1,2,3.93,10,24.2,http://chime-frb.ca/catalog/FRB20190117A
FRB 20190117C,2019-01-17 7:55:06,58500.32993,CHIME,7:40:24,+74:36:00,140.26,29.33,648.6,865.4,0.4,1.97,0.8,10.2,http://chime-frb.ca/catalog/FRB20190117C
FRB 20190117D,2019-01-17 14:06:02,58500.58752,CHIME,13:55:36,+31:42:00,54.84,75.35,419.2,1175.9,0.8,2.95,4,15.7,http://chime-frb.ca/catalog/FRB20190117D
